index,protein,bc
0,YLR370C,244.72778690832962
1,YLR289W,587.5140238567578
2,YBR288C,0.0
3,YBL061C,0.0
4,YER099C,0.0
5,YBR011C,11306.437161729482
6,YNL312W,0.599699025830416
7,YGR111W,0.9745422496756927
8,YML112W,0.0
9,YBR155W,0.0
10,YBR126C,15145.103352800217
11,YLR241W,209.8262631857407
12,YLL011W,130.21724183311147
13,YDL208W,9.587808290024553
14,YJL080C,953.5680555939487
15,YCR084C,272.2570854928607
16,YHR152W,15.893292936827367
17,YFL005W,246.41670298750446
18,YPR019W,344.5707777740207
19,YDR150W,0.0
20,YKL054C,795.8998531465191
21,YHR076W,1851.009283341603
22,YKL157W,0.47676349546718166
23,YJL013C,8.133064638039357
24,YDR074W,0.0
25,YML032C,1510.0835109958082
26,YCR093W,1122.406039666732
27,YKL218C,0.0
28,YCR092C,7.339256800224971
29,YIL142W,7768.398985230145
30,YBR055C,2962.8709690601186
31,YFR028C,489.335324150705
32,YGR232W,974.4502904615358
33,YGL008C,5282.21382778182
34,YMR028W,605.5108087615453
35,YHR019C,2543.3862049110567
36,YJL122W,1621.4743583524396
37,YDR216W,20920.624608858525
38,YGR205W,0.0
39,YOL081W,211.46217881645134
40,YMR246W,6479.079198842586
41,YDR316W,0.0
42,YBR135W,52.9384870028882
43,YLR384C,0.0
44,YDL003W,0.0
45,YNL311C,11.587582184962962
46,YGL104C,0.05377930808329234
47,YHL035C,0.05377930808329234
48,YDR369C,1523.0828468757159
49,YML123C,7693.465788608071
50,YDR177W,0.0
51,YFL008W,0.0
52,YPR018W,2555.053064125491
53,YPL018W,0.0
54,YJL187C,0.0
55,YJR127C,0.0
56,YDR224C,11982.871446132061
57,YPL166W,2.02446130937703
58,YJR072C,6943.615477847942
59,YBL008W,15.034464403729555
60,YOR367W,0.0
61,YER059W,0.0
62,YPR029C,0.0
63,YDR146C,0.0
64,YBR010W,1523.1451128080812
65,YBR035C,1.1678638008406346
66,YPL110C,5906.477556171438
67,YLL018C,412.43628548766077
68,YNR008W,7.735771553102237
69,YBR154C,788.6229799973177
70,YOR142W,675.7858077690166
71,YDR255C,263.07062226104216
72,YCR002C,896.4926059430682
73,YHR073W,0.0
74,YNL037C,7119.992401860298
75,YGR142W,12.353294643877367
76,YFR039C,0.0
77,YCL010C,0.0
78,YAR003W,0.7531810399635922
79,YKR029C,0.0
80,YDL040C,3.723427246575936
81,YDL137W,4621.299365727032
82,YER078C,160.9114336083524
83,YNR031C,7180.207540118386
84,YJL074C,987.7034871696504
85,YGL062W,2943.052621069832
86,YCR091W,0.0
87,YMR308C,4072.714119658933
88,YMR276W,0.0
89,YGR204W,247.56610685146887
90,YLR127C,0.0
91,YJR134C,2.505320768483802
92,YER164W,0.0
93,YHR120W,0.0
94,YFL045C,11126.871789499117
95,YDR339C,0.0
96,YER127W,1.1133515740874782
97,YDL204W,277.3461010278094
98,YLR270W,2.3744766263773456
99,YGR202C,2690.871570900553
100,YKR067W,0.8022222632212069
101,YHR107C,249.78194403215684
102,YMR093W,0.0
103,YBR081C,1088.8460819902557
104,YJL207C,417.2568410835887
105,YMR275C,155.7668606067019
106,YOR201C,0.0
107,YBL022C,2116.7145552550205
108,YHL007C,5.024814470892119
109,YLR226W,0.0
110,YPL265W,10.369253971937527
111,YPR178W,218.3643647728292
112,YGL003C,1.4912481427465147
113,YDL084W,100.02032924963109
114,YDL153C,2.505320768483802
115,YPR184W,154.8263244239147
116,YBR059C,6019.0
117,YMR153W,0.4214014309548587
118,YCR066W,10.956304706458562
119,YDR099W,0.0
120,YGL197W,2.505320768483802
121,YLR442C,292.4482446772742
122,YCR048W,2.794519382529562
123,YOL062C,0.0
124,YDR477W,1224.2340167088553
125,YLR430W,1813.7928466354513
126,YMR005W,2.378161619423748
127,YMR226C,9692.212921028708
128,YGR159C,0.0
129,YGL100W,13496.91343443941
130,YKR060W,1.1133515740874782
131,YHR001W,0.0
132,YPL029W,213.2402923519161
133,YHR033W,24516.48740819294
134,YMR135C,2761.1299778436714
135,YOR326W,5457.240313717678
136,YNL134C,3.762170074950871
137,YER057C,0.0
138,YER100W,0.0
139,YBR049C,0.0
140,YDL022W,5.024814470892119
141,YER070W,487.1403731251994
142,YDR473C,0.0
143,YGL111W,3207.431354739788
144,YDR510W,0.0
