index,protein,bc
0,YLR370C,12.307146329769335
1,YDR331W,0.0
2,YPR168W,87.95942547084859
3,YDR404C,111.58650324925235
4,YBR288C,2.5906299107623636
5,YPR094W,0.0
6,YBL061C,16.197436708710313
7,YDR334W,0.0
8,YBR011C,109.03028288883823
9,YNL312W,184.1773365211691
10,YML112W,0.7998416026124164
11,YDR502C,183.2801886370348
12,YOR294W,0.8922545597979555
13,YBR155W,0.0
14,YBR126C,715.4028988155297
15,YPL233W,1598.3758535048855
16,YBL018C,57.45586599892036
17,YNL104C,0.0
18,YPL143W,1374.7727270847295
19,YJR138W,1799.25378851464
20,YLL011W,89.71896335351143
21,YDL174C,0.006493506493506494
22,YDL208W,3.0474513340218286
23,YML014W,0.0
24,YBR104W,0.0
25,YJL080C,226.97747901196388
26,YGR120C,8.125517366614286
27,YCR084C,35.41597931254171
28,YDL061C,6.401029152453802
29,YPR019W,0.055512653069081326
30,YDR150W,47.58208657567605
31,YKL054C,17.696210497287414
32,YJL102W,0.0
33,YER086W,1076.2512747865583
34,YDR110W,0.0
35,YNL216W,0.0
36,YKL157W,42.91532296682375
37,YBR229C,2475.0
38,YGR170W,428.0080374308102
39,YAL041W,65.8930587222204
40,YOR158W,235.9272200463212
41,YKR057W,7.6236096825187705
42,YLR166C,100.40006519187676
43,YKR021W,0.0
44,YDR083W,1.7970608391116112
45,YML032C,274.6040321790466
46,YDR074W,106.22557837929747
47,YJL155C,0.0
48,YMR061W,250.9145505333624
49,YOL040C,2.0379260531354695
50,YCR093W,337.14566804084075
51,YAL009W,1.1907865648186375
52,YJL002C,708.2115653822766
53,YER055C,6.401029152453802
54,YKL218C,0.0056179775280898875
55,YIL031W,0.0
56,YCR092C,103.81187659135853
57,YIL142W,714.9963905983008
58,YNR007C,8.02076967873552
59,YBR055C,576.5974106451372
60,YGL187C,0.0
61,YGR232W,0.08579272477693892
62,YFR028C,0.9820988805912142
63,YOR141C,67.31775722529375
64,YMR028W,0.0
65,YPL081W,2230.810449249439
66,YHR019C,5.516986791192225
67,YDR216W,0.0
68,YJR084W,48.252940454281365
69,YER157W,82.16116817003272
70,YGR205W,0.0
71,YMR267W,15.018830032471111
72,YOR085W,232.88183151105366
73,YMR246W,2478.194254582095
74,YER151C,61.542558048726754
75,YEL036C,1018.8394491803659
76,YJR043C,0.0
77,YJL062W,0.0
78,YMR263W,89.07833158307209
79,YBR135W,742.8664791389069
80,YLR384C,164.28116816978567
81,YDL003W,23.59536520021634
82,YKL183W,0.0
83,YMR234W,0.0
84,YHR041C,794.8064875379889
85,YDR186C,5.737893421272542
86,YHL035C,0.0
87,YJL036W,57.26874244821709
88,YLR388W,0.0
89,YDL143W,1036.159048461985
90,YFL008W,152.29704875160684
91,YPR018W,0.0
92,YPL018W,377.67044872563133
93,YDR393W,0.1153906590778901
94,YHR118C,0.2000745844703378
95,YNL284C,80.42579652682609
96,YDR224C,450.6653521016859
97,YKL196C,3995.1576508498133
98,YER065C,16.658734018342003
99,YBR146W,118.60967547514288
100,YHR117W,1.407084248305006
101,YPL166W,0.25
102,YJR072C,4.075959187608376
103,YER059W,0.0
104,YHR072W,0.0
105,YMR299C,0.2559727457257756
106,YBL008W,0.0
107,YGR089W,0.0
108,YPR029C,91.6322286055372
109,YOL146W,19.627544656052248
110,YBR010W,0.057958056434894545
111,YBR007C,0.0
112,YLL018C,30.967263445020432
113,YGR030C,52.530312027135786
114,YJR005W,10.684050502356177
115,YBR154C,323.8274737792948
116,YLR448W,1967.621267648979
117,YOR142W,0.0
118,YPL125W,0.0
119,YGL180W,110.21063350098748
120,YGL153W,0.0
121,YOL148C,184.25248438049655
122,YLR025W,0.0
123,YMR273C,134.66610046607667
124,YMR031C,0.0
125,YCR002C,428.727328115952
126,YJL110C,0.0
127,YNL037C,0.0
128,YNL292W,0.0
129,YBR038W,0.05464282000623897
130,YOR271C,0.030623047767201254
131,YGR104C,372.72978129077296
132,YCL010C,152.85221997015861
133,YAR003W,14.072554707563746
134,YOL070C,0.0
135,YKR029C,24.660513305181578
136,YOR163W,0.0
137,YDL040C,81.89093921354257
138,YDL137W,0.0
139,YJL148W,0.0
140,YNR031C,74.28658243410193
141,YJL074C,121.4422084483164
142,YML075C,20.923105352477997
143,YCR091W,0.0
144,YDR297W,0.0
145,YDR425W,57.26874244821709
146,YMR308C,2332.3262295925488
147,YLR127C,28.50737750480721
148,YGR204W,146.08372650352092
149,YPL042C,136.2143574287597
150,YER164W,6.229203839481846
151,YBL024W,0.0
152,YML106W,0.0
153,YBR254C,15.280921433051756
154,YBL027W,249.2922197264732
155,YFL045C,888.3967313354959
156,YBR037C,0.0
157,YBR246W,0.0
158,YER127W,16.109396406990037
159,YHR108W,0.41593165985057523
160,YDL122W,1.8788627514576561
161,YHR104W,0.0
162,YDL126C,2487.285285524157
163,YPR022C,0.0
164,YIL161W,1.5428135317525657
165,YLR270W,0.0
166,YGR202C,0.03340906371079867
167,YKR067W,39.33462983528723
168,YMR033W,310.8246422271731
169,YDR140W,0.0
170,YER168C,0.0
