index,protein,bc
0,YLR370C,0.0
1,YDR331W,0.0
2,YPR168W,296.0124216206169
3,YBR288C,2456.0
4,YKL006C-A,2456.0
5,YPR094W,2456.0000000000005
6,YBR213W,0.0
7,YDR404C,0.0
8,YER099C,1070.7796070971858
9,YMR280C,0.0
10,YOL043C,0.0
11,YOR140W,0.0
12,YLR443W,0.0
13,YBL010C,0.0
14,YDL072C,0.0
15,YGR111W,860.7731626570877
16,YML112W,1.0
17,YDR502C,1153.389985087341
18,YBR155W,7321.833105199119
19,YOR294W,2456.0
20,YCL067C,875.2415074687658
21,YPL105C,2851.0392525586776
22,YPL233W,0.0
23,YPL112C,0.0
24,YBL018C,0.0
25,YLR241W,8.0
26,YDL208W,8788.698996924166
27,YPL245W,0.0
28,YBR076W,0.0
29,YML014W,140.97481317364625
30,YNL131W,0.0
31,YDR054C,0.0
32,YGR120C,3529.431192058828
33,YHR152W,6000.51271353144
34,YDL061C,0.0
35,YDR205W,0.0
36,YPL133C,0.0
37,YIL057C,259.57369945144086
38,YJL102W,0.0
39,YLR312C,0.0
40,YJL134W,0.0
41,YNL058C,0.0
42,YBR262C,0.0
43,YDR110W,5416.079540842516
44,YLR065C,2456.0
45,YBR108W,185.8838321564056
46,YER086W,6588.760087894113
47,YNL216W,2245.035283355467
48,YKL157W,1054.0267973905413
49,YGL222C,6134.488897640273
50,YBR176W,21349.68608916202
51,YER058W,0.0
52,YLR008C,0.0
53,YAL041W,4246.380583893865
54,YOR158W,2087.497692535157
55,YLR166C,4911.0
56,YBL031W,0.0
57,YKR021W,2456.0
58,YDR074W,0.0
59,YJL155C,0.0
60,YMR061W,152.82038820589617
61,YJL170C,2456.0
62,YKR053C,0.0
63,YJL002C,0.0
64,YBR068C,0.0
65,YIL031W,0.0
66,YGL021W,0.0
67,YIL142W,0.0
68,YNR007C,7720.6938775665785
69,YBR055C,0.0
70,YGL187C,481.39570441047283
71,YGR232W,6116.224756024852
72,YFR028C,0.0
73,YHR019C,2456.0
74,YBR077C,462.4795022398418
75,YML060W,0.0
76,YER157W,774.1423987563181
77,YER137C,0.0
78,YGR205W,7668.819119130618
79,YJL082W,0.0
80,YMR267W,0.0
81,YMR246W,483.887540040849
82,YER151C,0.0
83,YEL036C,2.0
84,YDR111C,0.0
85,YJR043C,0.0
86,YMR263W,22753.672135909506
87,YBR135W,7433.848775531022
88,YBL086C,0.0
89,YDR373W,66.60421856145214
90,YOR324C,10440.500991756227
91,YKR005C,0.0
92,YLR384C,0.0
93,YCL044C,0.0
94,YKL183W,2456.0
95,YNL311C,6526.828977121814
96,YGL104C,0.0
97,YHR041C,38361.7970744656
98,YJL159W,4911.000000000001
99,YAR033W,0.0
100,YNL211C,0.0
101,YER163C,0.0
102,YJL036W,524.3772543494182
103,YGR042W,0.0
104,YML123C,0.0
105,YCL045C,0.0
106,YLR388W,0.0
107,YGL138C,0.0
108,YIL110W,3833.452255390926
109,YHR178W,16556.950959069007
110,YGL124C,0.0
111,YPR018W,12266.0
112,YPL018W,0.0
113,YNL092W,77415.98097112202
114,YBL092W,4910.0
115,YJL187C,0.0
116,YBR186W,2462.876200725241
117,YKL197C,0.0
118,YDR224C,0.0
119,YOR064C,3678.9381923728242
120,YBR146W,0.0
121,YHR117W,0.0
122,YOR066W,0.0
123,YER119C,5501.548179790846
124,YER059W,3036.29894191351
125,YMR299C,0.0
126,YPR029C,6607.666066772014
127,YNL316C,0.0
128,YOL146W,0.0
129,YKL075C,1.0
130,YBR035C,0.0
131,YNL158W,0.0
132,YKL134C,0.0
133,YLL018C,0.0
134,YDL085W,0.0
135,YDR530C,0.0
136,YJR005W,30.310571639769872
137,YBR154C,386.5740960352391
138,YLR448W,0.0
139,YDR532C,5776.608135692958
140,YOR289W,3045.548179790845
141,YLR021W,0.0
142,YER186C,0.0
143,YPL125W,45.33093854526675
144,YPR058W,0.0
145,YGL180W,0.0
146,YLR461W,0.0
147,YGL153W,11851.356509421179
148,YLR025W,9683.3821416648
149,YIL117C,2456.0
150,YGL010W,1231.156520425244
151,YDR126W,0.0
152,YOL148C,0.0
153,YPL064C,0.0
154,YJL110C,5292.080131575967
155,YNL037C,83.98365978777755
156,YGR142W,2302.978828380509
157,YNL292W,0.0
158,YBR038W,254.99417644635272
159,YOR271C,0.0
160,YHR144C,0.0
161,YCL010C,34.13456791706568
162,YPR194C,0.0
163,YDL049C,3.0
164,YOL070C,0.0
165,YKR029C,0.0
166,YAR003W,0.0
167,YJR115W,0.0
168,YGL018C,0.0
169,YER078C,7916.459029271066
170,YBR269C,0.0
171,YGR277C,0.0
172,YML075C,0.0
173,YDR425W,2279.698701921345
174,YMR276W,0.0
175,YGR204W,0.0
176,YEL066W,9521.706969173598
177,YJR134C,512.7481788696988
178,YHR151C,0.0
179,YBL024W,0.0
180,YML106W,0.0
181,YBR254C,12569.584541207123
182,YFL045C,2456.0
183,YNL194C,2124.611872307083
184,YBR246W,0.0
185,YMR260C,0.0
186,YER127W,7362.0
187,YDL204W,2590.4688193957304
188,YNL176C,5916.311143798807
189,YER011W,207.8595112758884
190,YKR037C,1160.4077222541434
191,YDL126C,0.0
192,YKL222C,0.0
193,YOR258W,0.0
194,YKL141W,6621.22948686598
195,YMR289W,0.0
196,YIR037W,0.0
197,YML043C,0.0
198,YKR010C,293.94876955005685
199,YLR270W,2456.0
200,YDR140W,0.0
201,YGR071C,7363.999999999998
202,YJL010C,0.0
203,YHR107C,8.0
204,YMR093W,0.0
205,YBL068W,0.0
206,YNR069C,4285.0155817320865
207,YLR299W,0.0
208,YJL097W,614.5555169162866
209,YIR035C,0.0
210,YPR041W,0.0
211,YBR065C,0.0
212,YNL084C,1174.728231827031
213,YER180C,0.0
214,YOR231W,2456.0
215,YLR226W,0.0
216,YDL093W,0.0
217,YGL040C,198.88214615227463
218,YPL265W,0.0
219,YLR420W,1483.42643763146
220,YOL014W,7364.0
221,YMR002W,7362.0
222,YPR178W,518.4239285277639
223,YBR117C,0.0
224,YDL084W,0.0
225,YGR010W,1852.0291090952946
226,YNR041C,216.85013936012376
227,YDL153C,56736.17804345927
228,YDR332W,0.0
229,YKL117W,0.0
230,YDL203C,3286.18544487749
231,YGL032C,0.0
232,YBR059C,5914.861412495468
233,YPR184W,0.0
234,YMR153W,58208.038539626294
235,YNL081C,0.0
236,YFL017C,3751.714990369158
237,YGR189C,1980.7096610313802
238,YMR186W,0.0
239,YDR099W,7361.999999999997
240,YOR279C,0.0
241,YDR277C,10978.03696351287
242,YNR001C,2672.9608550214184
243,YMR095C,0.0
244,YOL003C,0.0
245,YKR074W,0.0
246,YNL202W,119.43972771236396
247,YPL214C,0.0
248,YCR048W,0.0
249,YKL138C,0.0
250,YPR179C,0.0
251,YOL062C,0.0
252,YDR477W,0.0
253,YGL261C,0.0
254,YBL078C,84.94980658233582
255,YGR159C,0.0
256,YMR226C,0.0
257,YHR045W,0.0
258,YJR092W,0.0
259,YKL192C,2799.9755825311167
260,YOR059C,22059.97509666616
261,YLR050C,0.0
262,YIL109C,9812.0
263,YGL100W,0.0
264,YDR330W,0.0
265,YOR112W,2456.0
266,YNL183C,0.0
267,YGL015C,0.0
268,YER128W,0.0
269,YLR056W,505.0839983297968
270,YML130C,0.0
271,YLR415C,0.0
272,YER175C,0.0
273,YOR250C,0.0
274,YOR074C,0.0
275,YDR435C,0.0
276,YHR033W,0.0
277,YLR308W,0.0
278,YIR036C,0.0
279,YJL189W,0.0
280,YNR064C,0.0
281,YNL134C,0.0
282,YER057C,0.0
283,YKL201C,0.0
284,YJL061W,7677.741655201043
285,YER146W,2456.0
286,YDR473C,1499.6209832027123
287,YAL014C,0.0
288,YDR510W,99768.63945301827
289,YER009W,1.0
290,YLR191W,7761.699080457849
291,YGR068C,0.0
292,YLR134W,4340.404769342342
293,YLR146C,0.0
294,YNL328C,0.0
295,YMR068W,1309.0470684576815
296,YBR219C,0.0
297,YKL120W,0.0
298,YFL055W,0.0
299,YNL169C,0.0
300,YBR061C,28019.574591924276
301,YPL013C,4281.345435805205
302,YLR264W,0.0
303,YER027C,2.0
304,YKL017C,0.0
305,YDL135C,2456.0
306,YPR119W,4745.814158795515
307,YLR362W,0.0
308,YMR313C,0.0
309,YLR185W,0.0
310,YER023W,1826.7154147926485
311,YOR220W,1319.2252834803458
312,YOR224C,0.0
313,YMR010W,0.0
314,YLR401C,0.0
315,YLR118C,0.0
316,YNL180C,0.0
317,YPR085C,2456.0
318,YDR164C,0.0
319,YBR286W,1456.6097859384029
320,YPL052W,0.0
321,YDR031W,0.0
322,YLR077W,2456.0
323,YDL230W,0.0
324,YKR016W,0.0
325,YGL083W,0.0
326,YLR284C,2363.644490355865
327,YBR074W,9769.64805555761
328,YNL210W,0.0
329,YBL072C,0.0
330,YNL160W,0.0
331,YDR490C,1483.8024989702512
332,YLR412W,0.0
333,YPR133C,0.0
334,YIL071C,2456.0
335,YJL052W,0.0
336,YFR047C,51.03181342767335
337,YHR059W,0.0
338,YER176W,0.0
339,YCL049C,0.0
340,YDR460W,0.0
341,YGL237C,7026.637669304604
342,YCR008W,0.0
343,YBR187W,13207.559196517093
344,YGL037C,3377.990163648367
345,YJL172W,0.0
346,YOR147W,4910.0
347,YOR089C,4809.1359166744905
348,YOR298W,0.0
349,YAL043C,2456.0
350,YNL146W,0.0
351,YHL043W,3059.6062958827383
352,YMR244W,0.0
353,YLR045C,2375.3266312056057
354,YDR441C,76.80372358396541
355,YDR113C,0.0
356,YNL062C,0.0
357,YHR026W,5432.22572295766
358,YGR196C,2711.019753666289
359,YHR128W,4556.50205225646
360,YJL208C,2456.0
361,YDR233C,203.30504025090534
362,YDR132C,0.0
363,YGR239C,10624.49613786833
364,YIL091C,0.0
365,YKL154W,0.0
366,YEL013W,6030.486283077583
367,YDL054C,106.83822741585901
368,YOL016C,1514.4582728847126
369,YGR099W,0.0
370,YFL022C,155.48703184070828
371,YDR287W,0.0
372,YHL025W,0.0
373,YML121W,17054.32817204373
374,YJL203W,2456.0000000000005
375,YGL053W,14816.89544622044
376,YGL019W,0.0
377,YPL240C,0.0
378,YLR315W,1738.2556567448005
379,YOL142W,0.0
380,YML102W,2456.0
381,YIL108W,2456.0
382,YGR178C,11410.411278090955
383,YCR030C,5043.672015575515
384,YIL162W,1170.7534790923444
385,YKL028W,0.0
386,YMR056C,0.0
387,YGL213C,1852.7918098126952
388,YGR214W,0.0
389,YBR161W,0.0
390,YLL012W,1.0
391,YKL103C,20853.155701067484
392,YDL123W,0.0
393,YDR175C,0.0
394,YLR080W,335.4177428143451
395,YMR058W,0.0
396,YOR383C,0.0
397,YBR171W,2456.0
398,YER124C,0.0
399,YCR072C,0.0
400,YLR210W,1712.0590788748523
401,YKR022C,4238.197762818911
402,YJL157C,0.0
403,YBR094W,0.0
404,YLR012C,0.0
405,YGR201C,359.2825847902433
406,YBR203W,0.0
407,YDL075W,0.0
408,YKR028W,1885.1561303660599
409,YFL012W,0.0
410,YDR374C,0.0
411,YOL102C,0.0
412,YPR040W,10032.04793280672
413,YNL243W,2456.0
414,YDL046W,3474.1217075176173
415,YGL245W,1.0
416,YGR023W,0.0
417,YHL033C,0.0
418,YCL038C,7396.664027804344
419,YDR489W,6085.057207111404
420,YNR013C,1973.151785766591
421,YAL038W,0.0
422,YDR319C,3317.886947812044
423,YPL241C,4.0
424,YPL003W,1104.4142433285904
425,YLR153C,0.0
426,YMR075W,0.0
427,YIL078W,0.0
428,YLR150W,0.0
429,YNR035C,0.0
430,YPR037C,1748.0995272330122
431,YMR132C,0.0
432,YDR337W,0.0
433,YJL055W,0.0
434,YPR171W,9812.0
435,YMR080C,0.0
436,YJL008C,0.0
437,YDR482C,0.0
438,YLR449W,5266.121716513308
439,YDR179C,0.0
440,YJL069C,0.0
441,YOR221C,0.0
442,YLR353W,0.0
443,YML057W,0.0
444,YLR267W,2456.0
445,YIL009W,4911.0
446,YFL021W,7740.067913667455
