index,protein,bc
0,YOR140W,1725.7936575572626
1,YLR443W,56.289033219493135
2,YBR011C,7310.058623712008
3,YDR502C,3680.016269373173
4,YDL182W,21155.20778666507
5,YPL143W,33193.946075220694
6,YCR017C,1772.917129874086
7,YLL011W,11002.193160611632
8,YLR084C,246.70058401453446
9,YPL133C,1065.5093047446321
10,YFL005W,1455.7291760588153
11,YPL176C,1930.9652247710162
12,YDR150W,14059.222349411868
13,YJL102W,1049.0059555016949
14,YLR149C,223.72121846437796
15,YJR032W,1672.0976240226703
16,YBR229C,10149.818595011266
17,YPL202C,11935.123802122767
18,YBL031W,6462.902918314469
19,YCR093W,25272.007547579466
20,YJL002C,4363.785512182009
21,YMR111C,2475.71397868314
22,YIL031W,5326.875098256681
23,YCR092C,4833.0688980314
24,YCR065W,6276.570808006577
25,YBR055C,29410.88703821262
26,YMR028W,2983.8607811315965
27,YPL081W,9914.403818901346
28,YJL122W,8335.461285643754
29,YMR015C,1209.8997256777682
30,YJR084W,13509.46872644109
31,YER157W,5879.815477553979
32,YER137C,0.0
33,YOL081W,2559.0982972668858
34,YER151C,4647.140640091008
35,YLR445W,3208.2702178024806
36,YOR324C,1842.8984113488416
37,YDL003W,12660.997930459458
38,YNL311C,636.021415383234
39,YAR033W,131.496312288751
40,YOR304C-A,17782.09875234676
41,YDR369C,6415.607520929123
42,YML123C,88.3929719389631
43,YGL124C,1736.2939070105904
44,YNL022C,49.454575018994916
45,YDR393W,6787.172749272214
46,YBL092W,7449.269977709614
47,YKL197C,2694.7477411709338
48,YPL147W,1916.7904786865765
49,YER065C,10461.765306920646
50,YOR066W,0.0
51,YHR117W,1457.3086966326096
52,YOR367W,69.64174032506806
53,YMR299C,4810.959775411873
54,YDR146C,5406.985608103588
55,YBR010W,8700.716486669684
56,YNL158W,64.39155444081835
57,YKL134C,2812.6749419036896
58,YPL110C,4850.64276355723
59,YNR008W,178.60827262792526
60,YDL085W,374.0819907970683
61,YDR530C,1247.0961190238286
62,YBR154C,26872.013461851882
63,YDR255C,2936.4295756093343
64,YPL167C,1189.4532519232257
65,YGL153W,1258.5082166374573
66,YHL022C,594.6960485268327
67,YMR031C,4245.568798080723
68,YNL292W,4927.367970209674
69,YKL178C,4299.049217429891
70,YPR194C,1913.4314331551047
71,YAR003W,0.0
72,YGR277C,372.46367784447955
73,YML075C,1166.9366242641502
74,YMR308C,45207.60775682127
75,YKL091C,4689.515547514604
76,YML106W,3529.9340049035904
77,YBR254C,12977.073026518228
78,YMR228W,902.6750555169558
79,YDL204W,1694.4397063082251
80,YKR037C,13303.933150043049
81,YDL126C,22288.947936522185
82,YML043C,10643.19747525849
83,YLR270W,8696.218689243344
84,YMR033W,20619.79583306038
85,YER168C,2548.9634292423934
86,YHR107C,10170.462088211625
87,YOR201C,2953.756228723151
88,YBR065C,12842.553814612776
89,YER180C,1632.1810225300874
90,YIL130W,7039.023849164775
91,YDL093W,1443.6416344373893
92,YPL265W,5087.8425481111435
93,YMR002W,5095.2481534516455
94,YPR178W,11032.107947536286
95,YDL084W,10370.312729792136
96,YNR041C,943.1239863209668
97,YDL203C,9818.131983655056
98,YBR059C,7872.989786483487
99,YAL024C,2887.6271842946207
100,YMR095C,3078.5142484388875
101,YOL003C,5135.488019616432
102,YCR048W,0.0
103,YKL138C,6180.430038236488
104,YLR419W,3141.3237414627156
105,YMR005W,6352.16003704742
106,YJR092W,11859.20187965615
107,YKL192C,16265.437833977587
108,YGL100W,9883.229395194443
109,YER128W,1671.7001908335299
110,YDL048C,4304.546206530968
111,YDR435C,2727.498783819706
112,YHR033W,134.54706152701752
113,YNL232W,1559.9439141211062
114,YPR089W,171.31636313664336
115,YER100W,158.78965662557405
116,YBR049C,13921.518922089685
117,YDL022W,1396.5047401587556
118,YER146W,27978.671620987978
119,YER070W,9330.581560904508
120,YDR473C,21909.43810071742
121,YPR002W,438.9450299437026
122,YKL220C,4924.839810696093
123,YLR146C,4453.691815100776
124,YMR068W,1051.3558512019772
125,YDL135C,4127.823550161514
126,YOR188W,863.5783903050557
127,YOR220W,5317.677487397178
128,YLR118C,1123.8642857246218
129,YGL083W,242.6133649044818
130,YPL100W,0.0
131,YIL065C,533.2434211694931
132,YDR490C,5509.459213954955
133,YMR060C,659.7457585192687
134,YGL087C,21693.723446920267
135,YDR460W,9858.175880607287
136,YPR167C,7584.361214425939
137,YGL237C,11915.984037085018
138,YBR187W,0.0
139,YOR298W,0.0
140,YIL129C,27575.523242439398
141,YIL083C,6596.033309526298
142,YGL080W,643.5965645968345
143,YNL062C,697.7202643709124
144,YHR162W,442.7732220899466
145,YKR085C,11858.753775258063
146,YGR196C,10311.413547034776
147,YHR128W,11774.747179358965
148,YDR233C,1835.3273536848158
149,YGR239C,403.40152305373005
150,YBR036C,1441.1536151451305
151,YPL137C,10624.302518118955
152,YFR011C,4080.844122746103
153,YJL203W,12967.133658042027
154,YPL198W,91867.78898252886
155,YBL093C,357.68772793364394
156,YOL142W,19016.07851123996
157,YML102W,960.5675180183116
158,YIL162W,99.17984110930247
159,YKL028W,8538.628601549643
160,YMR056C,657.2328112502399
161,YGL213C,21.614501538911345
162,YDR108W,20488.014369140423
163,YBL030C,12939.627878444457
164,YHR066W,4809.22759296352
165,YCR051W,12210.08190320802
166,YDL075W,12343.068395659942
167,YIL090W,4690.256079932191
168,YFL012W,1829.7622840686136
169,YOL102C,371.1497648570929
170,YOR099W,637.8254220506826
171,YGR023W,125.72312389004574
172,YDR123C,4332.936491684369
173,YNR013C,297.47958021191664
174,YAL038W,22498.31510837175
175,YEL044W,76.36588793912925
176,YPL241C,0.0
177,YPL003W,5404.26550771408
178,YIL078W,10867.38538548891
179,YNR026C,116.64925315752889
180,YNR035C,7654.613069366534
181,YPR185W,2409.8641864052393
182,YJL055W,2496.148541086236
183,YPR171W,16392.739966096302
184,YLL034C,7352.218421091708
185,YNL090W,711.954819270068
186,YNL214W,178.9203893327426
187,YNL252C,4051.351151554698
188,YGL055W,10603.722484206563
189,YKL122C,7896.262655380011
190,YPR164W,2587.6582076587306
191,YER002W,1721.8601356812212
192,YOL111C,10942.926156401758
193,YIL055C,156.84240816016256
194,YER075C,1028.023224379761
195,YGL211W,930.9184347764996
196,YER132C,3306.6469689591563
197,YML034W,9678.073125270485
198,YBR053C,796.5117037435566
199,YHR020W,67689.28327072688
200,YMR131C,7436.563219858363
201,YCL034W,1218.7277427815552
202,YGR177C,1213.7056023197147
203,YEL062W,6610.7530650686895
204,YDL125C,2.019592426763138
205,YIR019C,2469.8415658862314
206,YLL026W,538.6042862313926
207,YGR262C,366.158958978545
208,YEL033W,2128.599822103868
209,YLR034C,2368.017871026456
210,YJR121W,20512.74581098542
211,YBR133C,3564.7614353900126
212,YLR197W,13309.260915591602
213,YIL042C,1938.7739014682033
214,YGL190C,7751.557371911334
215,YOL152W,9224.080696208155
216,YBR158W,5834.928515780789
217,YNL125C,644.3660913774828
218,YER003C,5.174724061742767
219,YGR060W,5878.046756973829
220,YHR038W,277.6732016384716
221,YDR046C,923.947939335195
222,YLR010C,2401.6463045965434
223,YMR201C,524.9268354200593
224,YBR164C,5445.445953495359
225,YLR102C,2307.8037521755405
226,YPR162C,7167.5605563216
227,YMR105C,5674.691667646587
228,YGL108C,965.5946721839628
229,YLR132C,249.64843793026174
230,YJR125C,5833.341981239465
231,YNL053W,0.0
232,YDR299W,30275.939170799684
233,YDL157C,3190.611886947941
234,YML124C,44968.066652815665
235,YBL013W,2304.5513295965284
236,YAR031W,1344.411898143787
237,YHR099W,92364.31676484049
238,YCL056C,466.5655733208031
239,YAL051W,4224.514132578428
240,YGR128C,13636.77120917657
241,YJL225C,1262.944868872897
242,YMR264W,3024.287254317078
243,YMR163C,3081.9840209778044
244,YJR102C,5481.752414013419
245,YLR067C,4469.381517899969
246,YJL171C,324.3583569497988
247,YJR058C,710.2203321671299
248,YLR098C,3393.8381997723704
249,YNL012W,2559.4325683821417
250,YJR064W,7075.982150902085
251,YCR047C,0.0
252,YBR025C,22428.974826861464
253,YLL046C,5709.159573393247
254,YPL002C,716.8440639271157
255,YLR386W,1108.6292105978532
256,YLR086W,2955.823123389228
257,YCR034W,606.480063053631
258,YEL064C,50.538806297801735
259,YGR084C,10608.789416110158
260,YFL034C-A,15982.130199996267
261,YMR118C,4929.209889596958
262,YBR255W,184.39463298256163
263,YBR122C,14902.313942098166
264,YGL043W,457.0108421397
265,YLR103C,0.0
266,YPR073C,2962.2703968992873
267,YAL064W-B,0.0
268,YPL262W,2559.7495775276793
269,YLR421C,20511.762799925655
270,YPL236C,316.9323864912641
271,YDR427W,8022.537067019026
272,YBR238C,5780.062952748712
273,YLR422W,4279.229380120303
274,YKL063C,416.5010596627393
275,YNL187W,4835.761392162408
276,YDR367W,109.04344242871588
277,YPL072W,376.5676945798033
278,YDR456W,343.92400895036116
279,YDR190C,49256.504938589285
280,YOR191W,5328.283083762484
281,YJR031C,6144.853335400912
282,YMR178W,8358.618063176222
283,YLL060C,197.48005758880927
284,YCL029C,29.366185404608604
285,YDR246W,606.6404436072002
286,YLR115W,6740.434299463904
287,YJL219W,93.36548019636163
288,YPR045C,4917.312492130803
