index,protein,bc
0,YLR370C,0.0
1,YPR168W,1.499678901991494
2,YBR288C,644.143969603954
3,YDR404C,539.7318535587463
4,YDR334W,1901.1469060403153
5,YOR140W,0.8086872917802711
6,YBR011C,6206.649812658803
7,YNL312W,17.127417320187433
8,YGR111W,0.0
9,YML112W,0.0
10,YDR502C,4941.037006382103
11,YDL182W,120.22235282576084
12,YPL105C,0.0
13,YBR126C,20.33152077469577
14,YPL233W,662.3333333333103
15,YBL018C,0.0
16,YNL104C,3.4582195405689418
17,YJR138W,793.4753933606366
18,YHR101C,0.0
19,YDL208W,0.0
20,YDR054C,0.0
21,YJL080C,3087.1144338954955
22,YCR084C,0.0
23,YPR019W,665.9394032578401
24,YHR076W,0.0
25,YLR312C,6927.808131463395
26,YER086W,0.0
27,YDR110W,0.0
28,YBR108W,0.0
29,YOL125W,0.0
30,YJR032W,16.090374889337642
31,YNL216W,0.0
32,YKL157W,0.0
33,YBR229C,183.33499256922602
34,YOR158W,33.328798635584306
35,YDR083W,0.0
36,YDR074W,2009.3315207746978
37,YML032C,0.0
38,YJL155C,0.0
39,YMR061W,1989.0000000000002
40,YCR093W,267.971993192549
41,YER055C,0.0
42,YIL031W,0.0
43,YCR092C,0.18438778666979902
44,YIL142W,0.3823739747527069
45,YGL021W,3.1124447052840316
46,YCR065W,0.0
47,YBR055C,2299.5854763888406
48,YGR232W,2589.591535275661
49,YOR141C,952.4313397838533
50,YMR028W,0.0
51,YPL081W,476.91128267833454
52,YJL122W,0.0
53,YML060W,0.7079271775790098
54,YJR084W,0.0
55,YBL057C,6.849912134022716
56,YER157W,0.0
57,YJL082W,1989.0000000000005
58,YHR176W,26.837634209407984
59,YER151C,68.69846528836356
60,YJR043C,0.0
61,YMR263W,379.82789345205885
62,YOR052C,0.0
63,YDR373W,0.0
64,YFR029W,5.8627996880748725
65,YLR384C,735.4331030842006
66,YDL003W,158.27854532680726
67,YHR041C,642.4006775563358
68,YHL035C,3.241432580994235
69,YJL159W,0.0
70,YDR186C,8.243874081394418
71,YJL036W,1989.2941637963122
72,YOR304C-A,0.0
73,YDR369C,0.2945838746320248
74,YPL015C,1.3502537397787708
75,YDR177W,2.872542432748632
76,YDL143W,169.41759153023
77,YFL008W,0.0
78,YGL124C,0.0
79,YPR018W,0.0
80,YPL018W,4514.338119592273
81,YNL022C,0.0
82,YHR118C,54.16152827779404
83,YNL284C,221.04244121040873
84,YDR224C,0.0
85,YOR064C,1989.0000000000005
86,YBR146W,303.9188319732939
87,YPL166W,0.0
88,YBL008W,133.53593357748383
89,YER059W,169.53764293692203
90,YPR029C,106.17128134296397
91,YOL146W,0.0
92,YNL316C,0.0
93,YBR010W,0.0
94,YKL075C,0.0
95,YKL134C,3868.8484272737664
96,YPL110C,0.0
97,YLL018C,2.4355618678538837
98,YNR008W,1.1047978356673906
99,YGR030C,0.0
100,YDR530C,0.0
101,YJR005W,3976.0000000000027
102,YBR154C,2260.959035404351
103,YLR448W,30.479376868364096
104,YDR532C,0.0
105,YOR142W,2352.386893935692
106,YDR255C,0.0
107,YOL148C,138.39549044537912
108,YPL064C,0.0
109,YMR273C,0.8672262866580545
110,YMR031C,0.0
111,YCR002C,5137.4936928742245
112,YGR142W,0.0
113,YGR104C,401.64336569520424
114,YCL010C,97.64639920965189
115,YAR003W,178.96710392033737
116,YOL070C,0.0
117,YKR029C,3583.378330062381
118,YDL040C,1179.8597518383335
119,YJL148W,70.43462262869585
120,YNR031C,0.0
121,YGL062W,465.46855093707035
122,YJL074C,2039.7642430143371
123,YMR308C,2268.193426966004
124,YFR005C,0.0
125,YDR425W,0.0
126,YLR069C,0.0
127,YLR127C,0.95
128,YGR204W,611.3999155227119
129,YPL042C,167.12189014909043
130,YER164W,3901.8351382708565
131,YML106W,302.7610145055985
132,YBL024W,30.48884330336335
133,YBL027W,0.0
134,YMR260C,0.0
135,YER127W,1.1047978356673906
136,YDL122W,7.190792830004897
137,YHR104W,78.62267374102487
138,YKR037C,808.2738992964385
139,YDL126C,12605.636093934443
140,YMR289W,0.0
141,YKR010C,0.0
142,YIL161W,0.0
143,YGR202C,3513.8683793133578
144,YLR270W,0.0
145,YMR033W,1099.1357649783574
146,YDR140W,0.0
147,YGR071C,2072.655630227275
148,YER168C,0.0
149,YHR107C,620.4468799987343
150,YER110C,1991.0683581979629
151,YMR093W,149.8423635662968
152,YBR081C,2589.5553087887683
153,YJL207C,474.2190370050429
154,YMR275C,0.0
155,YIR035C,0.0
156,YPR041W,376.7286315526971
157,YFR023W,2.869895344792235
158,YBR065C,2.6370721426403296
159,YFR031C,4119.423889132458
160,YNL084C,0.0
161,YPR178W,1250.3654114860537
162,YML117W,0.0
163,YDL084W,18.817650514710387
164,YDL153C,2.601015735832908
165,YDR332W,3.241432580994235
166,YPR184W,326.72339430751316
167,YMR186W,23019.517894223252
168,YJR036C,0.0
169,YCR066W,0.0
170,YDR099W,5446.676166423807
171,YGL197W,0.0
172,YOR279C,0.0
173,YFR050C,537.7699249072627
174,YDL150W,167.78340575866628
175,YAL024C,267.3649113555359
176,YFR009W,0.0
177,YLR442C,1988.9999999999995
178,YBL037W,0.8097272356465764
179,YPR179C,434.74962122657433
180,YOL062C,0.0
181,YDR477W,5572.216510390412
182,YMR005W,165.2669180964943
183,YGR159C,50740.978559560834
184,YKL192C,78.34470182484607
185,YGL100W,0.0
186,YDR330W,0.0
187,YHR001W,166.9257252624203
188,YOR112W,0.0
189,YML130C,0.0
190,YMR053C,0.0
191,YOR074C,193.39265405718905
192,YHR033W,0.0
193,YGL128C,120.72965192841423
194,YMR135C,0.0
195,YNL232W,1979.867378465048
196,YOR326W,16617.412999644785
197,YNL134C,43.64271192200909
198,YKL201C,0.0
199,YPR089W,0.0
200,YBR049C,15.673887450310156
201,YPL048W,10806.64024689858
202,YJL061W,2582.9988887510135
203,YER146W,0.0
204,YER070W,222.8332858285425
205,YDR473C,695.3442115097769
206,YGR070W,6.926561345275567
207,YGR255C,0.0
208,YPL001W,15547.091805192267
209,YLR298C,495.5702445936592
210,YOR046C,31.745861515924474
211,YNL250W,1.2861684795026906
212,YOR249C,0.0
213,YJR062C,0.0
214,YBR061C,6.320783561555362
215,YJR140C,133.53593357748383
216,YER027C,0.0
217,YKL017C,0.0
218,YDL135C,0.0
219,YPR119W,0.0
220,YLR362W,0.0
221,YLR185W,0.8284090736326982
222,YER023W,0.0
223,YKR008W,36848.502884997644
224,YFR010W,3057.2799507661775
225,YOR224C,316.294342661901
226,YLR401C,3673.615897283132
227,YDR164C,134.59887231716388
228,YDR292C,587.5427829416054
229,YDR127W,410.79637701523757
230,YML100W,0.0
231,YJL005W,0.0
232,YLR096W,0.0
233,YLR284C,1.7258001088267523
234,YBR080C,210.54378612904523
235,YLL001W,0.0
236,YBL072C,14712.991811898828
237,YDR490C,146.15171736995913
238,YPR133C,0.0
239,YOL005C,0.4776228308600118
240,YIL071C,935.4532825446715
241,YJL052W,2080.5140141174975
242,YGL087C,0.0
243,YHR165C,19550.37932933273
244,YER176W,0.0
245,YBR125C,0.0
246,YMR285C,0.0
247,YDR460W,29.095802504368095
248,YML114C,120.60937592287222
249,YDL112W,0.0
250,YAL043C,540.9746415947204
251,YOR089C,0.0
252,YDL095W,213.293055987187
253,YHR013C,2.888695830792925
254,YAL061W,0.0
255,YNL102W,0.0
256,YNL062C,0.0
257,YGR196C,0.0
258,YER111C,1961.3194203073951
